序号,单词,词性,中文释义,释义状态,自动检查,来源义项ID,补充说明
1647,meaning,noun；adjective,noun. 意思；含义；意义；adjective. 有意义的,AI初稿完成,通过,meaning%5:00:00:meaningful:00|meaning%1:10:00::|meaning%1:09:00::,
1648,means,noun,noun. 方法；手段；收入；工具,AI初稿完成,通过,means%1:04:00::|means%1:21:00::|means%1:06:01::,
1649,measure,verb；noun,verb. 测量；衡量；noun. 措施；尺度；测量,AI初稿完成,通过,measure%1:04:01::|measure%1:03:00::|measure%1:10:02::|measure%1:04:00::,动词义依据名词核心语义补充。
1650,meat,noun,noun. 肉；肉类；核心内容,AI初稿完成,通过,meat%1:13:01::|meat%1:20:00::|meat%1:09:00::,
1651,mechanic,noun；adjective,noun. 机械师；修理工；adjective. 机械的,AI初稿完成,通过,mechanic%5:00:00:mechanical:00|mechanic%1:18:00::|mechanic%1:18:01::,
1652,medal,noun,noun. 奖牌；勋章,AI初稿完成,通过,medal%1:10:00::,
1653,medical,adjective；noun,adjective. 医学的；医疗的；noun. 体检,AI初稿完成,通过,medical%3:01:00::|medical%3:00:00::|medical%3:01:02::|medical%1:04:00::,
1654,medicine,noun,noun. 医学；药；治疗方法,AI初稿完成,通过,medicine%1:09:00::|medicine%1:06:00::|medicine%1:04:00::|medicine%1:04:02::,
1655,medium,adjective；noun,adjective. 中等的；适中的；noun. 媒介；方法；介质,AI初稿完成,通过,medium%5:00:00:moderate:00|medium%5:00:00:cooked:00|medium%1:10:01::|medium%1:15:01::,
1656,meet,verb；noun；adjective,verb. 遇见；会面；满足；noun. 运动会；adjective. 合适的,AI初稿完成,通过,meet%5:00:00:just:00|meet%1:11:00::|meet%2:38:01::|meet%2:41:01::,
1657,meeting,noun,noun. 会议；会面；集合,AI初稿完成,通过,meeting%1:14:00::|meeting%1:14:01::|meeting%1:11:00::|meeting%1:04:00::,
1658,member,noun,noun. 成员；会员；构件,AI初稿完成,通过,member%1:18:00::|member%1:24:00::|member%1:08:00::|member%1:14:00::,
1659,membership,noun,noun. 会员资格；成员；会员人数,AI初稿完成,通过,membership%1:14:00::|membership%1:26:00::,
1660,memorial,noun；adjective,noun. 纪念物；纪念碑；纪念活动；adjective. 纪念的,AI初稿完成,通过,memorial%1:10:00::|memorial%1:10:01::|memorial%1:06:00::,形容词义依据名词核心语义补充。
1661,memory,noun,noun. 记忆；记忆力；回忆；存储器,AI初稿完成,通过,memory%1:09:02::|memory%1:09:01::|memory%1:09:00::|memory%1:06:00::,
1662,mental,adjective,adjective. 精神的；心理的；智力的,AI初稿完成,通过,mental%3:00:00::|mental%3:01:00::|mental%3:01:03::|mental%3:01:04::,
1663,mention,verb；noun,verb. 提到；说起；noun. 提及；表扬,AI初稿完成,通过,mention%1:10:01::|mention%1:10:02::|mention%1:10:00::|mention%2:32:02::,
1664,menu,noun,noun. 菜单；菜肴清单；选项单,AI初稿完成,通过,menu%1:10:00::|menu%1:13:00::|menu%1:10:01::|menu%1:09:00::,
1665,mercy,noun,noun. 仁慈；宽恕；幸运,AI初稿完成,通过,mercy%1:04:00::|mercy%1:07:00::|mercy%1:12:00::|mercy%1:26:00::,
1666,merely,adverb,adverb. 仅仅；只不过,AI初稿完成,通过,merely%4:02:00::,
1667,merry,adjective,adjective. 愉快的；欢乐的；活跃的,AI初稿完成,通过,merry%5:00:02:joyous:00|merry%5:00:01:joyous:00|merry%5:00:00:energetic:00,
1668,mess,noun；verb,noun. 混乱；脏乱；困境；verb. 弄乱；搞砸,AI初稿完成,通过,mess%1:26:00::|mess%1:26:02::|mess%1:13:01::|mess%1:13:00::,动词义依据基础英语常用义补充。
1669,message,noun；verb,noun. 消息；信息；要旨；verb. 发消息,AI初稿完成,通过,message%1:10:01::|message%1:10:00::|message%2:32:02::|message%2:32:01::,
1670,metal,noun；adjective；verb,noun. 金属；金属材料；adjective. 金属制的；verb. 用金属覆盖,AI初稿完成,通过,metal%3:00:00::|metal%1:27:00::|metal%1:27:01::|metal%2:35:00::,
1671,method,noun,noun. 方法；办法；条理,AI初稿完成,通过,method%1:09:00::|method%1:04:00::,
1672,metre,noun,noun. 米；公尺；韵律,AI初稿完成,通过,metre%1:23:00::|metre%1:10:00::|metre%1:07:00::|meter%1:23:00::,英式拼写。
1673,microscope,noun,noun. 显微镜,AI初稿完成,通过,microscope%1:06:00::,
1674,middle,noun；adjective,noun. 中间；中央；adjective. 中部的；中等的,AI初稿完成,通过,middle%5:00:00:intermediate:00|middle%5:00:01:central:01|middle%3:00:01::|middle%3:00:00::,名词义依据形容词核心语义补充。
1675,midnight,noun,noun. 午夜；半夜十二点,AI初稿完成,通过,midnight%1:28:00::,
1676,might,modal_verb；noun,modal_verb. 可能；也许；noun. 力量；威力,AI初稿完成,通过,might%1:07:00::,情态动词义依据基础英语语法补充。
1677,mild,adjective,adjective. 温和的；轻微的；暖和的,AI初稿完成,通过,mild%3:00:00::|mild%5:00:00:humble:00|mild%5:00:00:clement:02,
1678,mile,noun,noun. 英里；很长的距离,AI初稿完成,通过,mile%1:23:01::|mile%1:23:04::|mile%1:23:07::|mile%1:23:05::,
1679,military,adjective；noun,adjective. 军事的；军队的；noun. 军队；军方,AI初稿完成,通过,military%3:01:00::|military%3:00:02::|military%3:00:01::|military%1:14:00::,
1680,milk,noun；verb,noun. 奶；乳汁；verb. 挤奶；榨取,AI初稿完成,通过,milk%1:13:01::|milk%1:08:00::|milk%1:13:02::|milk%2:30:00::,
1681,millimetre,noun,noun. 毫米,AI初稿完成,通过,millimetre%1:23:00::|millimeter%1:23:00::,英式拼写。
1682,million,numeral；noun,numeral. 一百万；许多；noun. 一百万个,AI初稿完成,通过,million%5:00:00:cardinal:00|million%1:23:00::|million%1:23:01::,
1683,mind,noun；verb,noun. 头脑；思想；注意；verb. 介意；照料；留心,AI初稿完成,通过,mind%1:09:00::|mind%1:09:01::|mind%1:09:04::|mind%1:18:00::,动词义依据基础英语常用义补充。
1684,mine,pronoun；noun；verb,pronoun. 我的东西；noun. 矿；矿井；地雷；verb. 开采,AI初稿完成,通过,mine%1:06:01::|mine%1:06:00::|mine%2:34:00::|mine%2:33:00::,代词义依据基础英语物主代词用法补充。
1685,mineral,noun；adjective,noun. 矿物；矿物质；adjective. 矿物的；无机的,AI初稿完成,通过,mineral%3:01:01::|mineral%5:00:00:inorganic:02|mineral%1:27:00::,
1686,minimum,adjective；noun,adjective. 最小的；最低的；noun. 最低限度；最小值,AI初稿完成,通过,minimum%3:00:00::|minimum%1:23:00::|minimum%1:15:00::,
1687,minister,noun；verb,noun. 部长；大臣；牧师；verb. 照料；服侍,AI初稿完成,通过,minister%1:18:00::|minister%1:18:02::|minister%1:18:01::|minister%1:04:00::,
1688,minor,adjective；noun,adjective. 较小的；次要的；未成年的；noun. 未成年人；辅修科目,AI初稿完成,通过,minor%3:00:06::|minor%3:00:02::|minor%3:00:01::|minor%3:00:04::,名词义依据基础英语常用义补充。
1689,minority,noun,noun. 少数；少数群体；未成年,AI初稿完成,通过,minority%1:14:00::|minority%1:07:00::|minority%1:28:00::,
1690,minute,noun；adjective,noun. 分钟；片刻；会议记录；adjective. 微小的；细致的,AI初稿完成,通过,minute%5:00:00:small:00|minute%5:00:00:careful:00|minute%1:28:00::|minute%1:28:01::,
1691,mirror,noun；verb,noun. 镜子；反映；verb. 反映；映照,AI初稿完成,通过,mirror%1:06:00::|mirror%1:09:00::|mirror%2:43:00::|mirror%2:32:00::,
1692,Miss,title,title. 小姐；女士,AI初稿完成,通过,miss%1:10:00::,称谓用法，保留大小写区别。
1693,miss,verb；noun,verb. 错过；想念；未击中；noun. 未击中；失败,AI初稿完成,通过,miss%1:18:00::|miss%1:11:00::|miss%2:39:00::|miss%2:37:00::,
1694,missile,noun,noun. 导弹；投射物,AI初稿完成,通过,missile%1:06:01::|missile%1:06:00::,
1695,missing,adjective,adjective. 丢失的；失踪的；缺少的,AI初稿完成,通过,missing%5:00:00:lost:01|missing%5:00:00:nonexistent:00,
1696,mission,noun,noun. 任务；使命；代表团；传教活动,AI初稿完成,通过,mission%1:14:01::|mission%1:04:01::|mission%1:04:00::|mission%1:04:02::,
1697,mist,noun；verb,noun. 薄雾；水汽；verb. 蒙上薄雾；喷雾,AI初稿完成,通过,mist%1:19:00::|mist%2:30:00::|mist%2:39:00::|mist%2:35:00::,
1698,mistake,noun；verb,noun. 错误；误解；verb. 误解；弄错,AI初稿完成,通过,mistake%1:04:00::|mistake%1:09:00::|mistake%1:10:00::|mistake%2:31:02::,
1699,mix,verb；noun,verb. 混合；调配；交往；noun. 混合物；混合,AI初稿完成,通过,mix%1:13:00::|mix%1:11:00::|mix%1:04:00::|mix%2:30:00::,
1700,mixture,noun,noun. 混合物；混合；混合体,AI初稿完成,通过,mixture%1:27:00::|mixture%1:13:00::|mixture%1:14:00::|mixture%1:11:00::,
1701,mobile phone,noun,noun. 手机；移动电话,AI初稿完成,通过,mobile_phone%1:06:00::,
1702,mode,noun,noun. 方式；模式；状态；众数,AI初稿完成,通过,mode%1:07:00::|mode%1:26:00::|mode%1:24:00::|mode%1:24:02::,
1703,model,noun；verb；adjective,noun. 模型；模范；模特；型号；verb. 制作模型；展示；adjective. 模范的,AI初稿完成,通过,model%5:00:00:worthy:00|model%1:09:00::|model%1:09:03::|model%1:18:00::,动词义依据基础英语常用义补充。
1704,modern,adjective,adjective. 现代的；新式的；时髦的,AI初稿完成,通过,modern%3:00:00::|modern%5:00:00:fashionable:00|modern%5:00:00:nonclassical:00|modern%5:00:00:progressive:01,
1705,moment,noun,noun. 片刻；时刻；重要性；力矩,AI初稿完成,通过,moment%1:28:00::|moment%1:28:01::|moment%1:28:02::|moment%1:07:00::,
1706,Monday,proper_noun,proper_noun. 星期一,AI初稿完成,通过,monday%1:28:00::,
1707,money,noun,noun. 钱；货币；财富,AI初稿完成,通过,money%1:21:00::|money%1:21:02::|money%1:21:01::,
1708,monitor,noun；verb,noun. 监视器；显示器；监督者；verb. 监视；检测,AI初稿完成,通过,monitor%1:18:01::|monitor%1:18:00::|monitor%1:06:02::|monitor%1:06:01::,动词义依据基础英语常用义补充。
1709,monkey,noun；verb,noun. 猴子；顽皮的人；verb. 胡闹；摆弄,AI初稿完成,通过,monkey%1:05:00::|monkey%1:18:00::|monkey%2:35:12::|monkey%2:35:00::,
1710,month,noun,noun. 月；一个月；月份,AI初稿完成,通过,month%1:28:01::|month%1:28:00::,
1711,monthly,adjective；noun；adverb,adjective. 每月的；noun. 月刊；adverb. 每月一次,AI初稿完成,通过,monthly%5:00:00:periodic:00|monthly%1:10:00::|monthly%4:02:00::,
1712,mood,noun,noun. 心情；情绪；气氛；语气,AI初稿完成,通过,mood%1:12:00::|mood%1:26:00::|mood%1:24:00::,
1713,moon,noun；verb,noun. 月亮；卫星；月光；verb. 闲荡,AI初稿完成,通过,moon%1:17:02::|moon%1:28:00::|moon%1:17:00::|moon%2:41:01::,
1714,moral,adjective；noun,adjective. 道德的；精神上的；noun. 寓意；道德准则,AI初稿完成,通过,moral%3:00:00::|moral%5:00:00:mental:00|moral%1:10:00::,
1715,more,determiner；pronoun；adverb,determiner. 更多的；pronoun. 更多的人或事物；adverb. 更；更加,AI初稿完成,通过,more%3:00:01::|more%3:00:02::|more%4:02:00::|more%4:02:01::,
1716,moreover,adverb,adverb. 此外；而且,AI初稿完成,通过,moreover%4:02:00::,
1717,morning,noun,noun. 早晨；上午；初期,AI初稿完成,通过,morning%1:28:00::|morning%1:10:00::|morning%1:28:01::|morning%1:11:00::,
1718,mosquito,noun,noun. 蚊子,AI初稿完成,通过,mosquito%1:05:00::,
1719,most,determiner；pronoun；adverb,determiner. 最多的；大多数的；pronoun. 大多数；adverb. 最；非常,AI初稿完成,通过,most%3:00:02::|most%3:00:01::|most%4:02:00::|most%4:02:02::,
1720,mostly,adverb,adverb. 主要地；通常；几乎全部,AI初稿完成,通过,mostly%4:02:00::|mostly%4:02:03::,
1721,mother,noun；verb,noun. 母亲；妈妈；起源；verb. 照料；养育,AI初稿完成,通过,mother%1:18:00::|mother%1:27:00::|mother%1:18:02::|mother%1:18:01::,动词义依据基础英语常用义补充。
1722,motion,noun；verb,noun. 运动；动作；提议；手势；verb. 示意,AI初稿完成,通过,motion%1:10:00::|motion%1:11:00::|motion%1:04:00::|motion%1:26:00::,动词义依据名词核心语义补充。
1723,motivate,verb,verb. 激励；成为……的动机；促使,AI初稿完成,通过,motivate%2:36:00::,
1724,motive,noun；adjective,noun. 动机；目的；adjective. 引起运动的；推动的,AI初稿完成,通过,motive%5:00:00:causative:00|motive%5:00:02:causative:00|motive%1:03:00::|motive%1:10:00::,
1725,motor,noun；adjective,noun. 发动机；马达；adjective. 运动的；汽车的,AI初稿完成,通过,motor%5:00:00:efferent:00|motor%5:00:00:causative:00|motor%1:06:00::|motor%1:17:00::,
1726,mount,verb；noun,verb. 登上；安装；增加；noun. 山；坐骑；支架,AI初稿完成,通过,mount%1:05:00::|mount%1:04:00::|mount%1:17:00::|mount%1:06:01::,动词义依据基础英语常用义补充。
1727,mountain,noun,noun. 山；山脉；大量,AI初稿完成,通过,mountain%1:17:00::|mountain%1:23:00::,
1728,mouse,noun；verb,noun. 老鼠；鼠标；verb. 捕鼠；用鼠标操作,AI初稿完成,通过,mouse%1:05:00::|mouse%1:26:00::|mouse%1:18:00::|mouse%1:06:00::,动词义依据基础英语常用义补充。
1729,mouth,noun；verb,noun. 嘴；口；入口；河口；verb. 说；不出声地说,AI初稿完成,通过,mouth%1:08:01::|mouth%1:08:00::|mouth%1:17:01::|mouth%1:17:00::,动词义依据基础英语常用义补充。
1730,move,verb；noun,verb. 移动；搬家；行动；感动；noun. 移动；行动；步骤,AI初稿完成,通过,move%1:04:00::|move%1:04:01::|move%1:04:03::|move%1:04:04::,动词义依据基础英语常用义补充。
1731,movement,noun,noun. 运动；动作；活动；乐章,AI初稿完成,通过,movement%1:04:00::|movement%1:04:04::|movement%1:11:00::|movement%1:14:00::,
1732,movie,noun,noun. 电影；影片,AI初稿完成,通过,movie%1:10:00::,
1733,Mr,title,title. 先生,AI初稿完成,通过,mr%1:10:00::,用于男性姓氏或姓名前的称谓。
1734,Mrs,title,title. 太太；夫人,AI初稿完成,通过,mrs%1:10:00::,传统上用于已婚女性姓名前。
1735,Ms,title,title. 女士,AI初稿完成,通过,ms%1:10:02::,不说明婚姻状况的女性称谓。
1736,much,determiner；pronoun；adverb,determiner. 许多的；大量的；pronoun. 许多；adverb. 非常；很,AI初稿完成,通过,much%3:00:00::|much%1:23:00::|much%4:02:00::|much%4:02:03::,
1737,mud,noun；verb,noun. 泥；泥浆；verb. 使沾上泥；弄浑浊,AI初稿完成,通过,mud%1:27:00::|mud%2:35:00::|mud%2:35:01::,排除诽谤义项。
1738,multiple,adjective；noun,adjective. 多个的；多重的；noun. 倍数,AI初稿完成,通过,multiple%3:00:00::|multiple%1:09:00::,
1739,murder,noun；verb,noun. 谋杀；凶杀；verb. 谋杀；糟蹋,AI初稿完成,通过,murder%1:04:00::|murder%2:41:00::|murder%2:30:00::,
1740,muscle,noun；verb,noun. 肌肉；力量；实力；verb. 强行挤入,AI初稿完成,通过,muscle%1:08:00::|muscle%1:08:01::|muscle%1:18:00::|muscle%1:07:01::,动词义依据基础英语常用义补充。
1741,museum,noun,noun. 博物馆,AI初稿完成,通过,museum%1:06:00::,
1742,mushroom,noun；verb,noun. 蘑菇；蕈；verb. 迅速增长；采蘑菇,AI初稿完成,通过,mushroom%1:20:00::|mushroom%1:20:01::|mushroom%1:20:02::|mushroom%1:19:00::,动词义依据基础英语常用义补充。
1743,music,noun,noun. 音乐；乐曲；乐谱,AI初稿完成,通过,music%1:10:00::|music%1:09:00::|music%1:04:00::|music%1:09:01::,
1744,musician,noun,noun. 音乐家；乐师,AI初稿完成,通过,musician%1:18:01::|musician%1:18:00::,
1745,must,modal_verb；noun；adjective,modal_verb. 必须；一定；noun. 必须做的事；adjective. 必不可少的,AI初稿完成,通过,must%5:00:00:essential:00|must%1:07:00::,情态动词义依据基础英语语法补充；排除同形名词低相关义项。
1746,my,determiner,determiner. 我的,AI初稿完成,通过,,OEWN无候选释义；依据基础英语物主限定词用法原创整理。
1747,myself,pronoun,pronoun. 我自己；我亲自,AI初稿完成,通过,,OEWN无候选释义；依据基础英语反身代词用法原创整理。
1748,nail,noun；verb,noun. 指甲；钉子；verb. 钉牢；抓获；准确完成,AI初稿完成,通过,nail%1:08:00::|nail%1:06:00::|nail%1:23:00::|nail%2:35:00::,
1749,name,noun；verb,noun. 名字；名称；名声；verb. 命名；说出……的名字,AI初稿完成,通过,name%1:10:00::|name%1:26:00::|name%1:14:00::|name%1:18:00::,动词义依据基础英语常用义补充。
1750,narrow,adjective；verb,adjective. 窄的；狭隘的；有限的；verb. 变窄；缩小范围,AI初稿完成,通过,narrow%3:00:00::|narrow%5:00:00:limited:00|narrow%3:00:06::|narrow%3:00:02::,动词义依据基础英语常用义补充。
1751,nation,noun,noun. 国家；民族；国民,AI初稿完成,通过,nation%1:14:00::|nation%1:14:01::|nation%1:14:02::,
1752,national,adjective；noun,adjective. 国家的；全国的；国有的；noun. 国民；全国性比赛,AI初稿完成,通过,national%3:01:00::|national%3:00:00::|national%3:00:01::|national%5:00:00:public:00,名词义依据基础英语常用义补充。
1753,nationality,noun,noun. 国籍；民族,AI初稿完成,通过,nationality%1:14:00::|nationality%1:26:00::,
1754,native,adjective；noun,adjective. 出生地的；本土的；天生的；noun. 本地人；本地物种,AI初稿完成,通过,native%3:00:01::|native%3:00:03::|native%3:00:02::|native%5:00:00:pure:02,名词义依据基础英语常用义补充。
1755,natural,adjective；noun,adjective. 自然的；天然的；正常的；天生的；noun. 有天赋的人,AI初稿完成,通过,natural%3:00:01::|natural%3:00:02::|natural%3:00:03::|natural%5:00:00:normal:01,名词义依据基础英语常用义补充。
1756,nature,noun,noun. 自然；大自然；本质；天性,AI初稿完成,通过,nature%1:07:02::|nature%1:18:00::|nature%1:17:00::|nature%1:07:01::,
1757,navy,noun,noun. 海军；深蓝色,AI初稿完成,通过,navy%1:14:00::|navy%1:07:00::,
1758,near,adjective；adverb；preposition；verb,adjective. 近的；接近的；adverb. 在附近；将近；preposition. 靠近；verb. 接近,AI初稿完成,通过,near%3:00:00::,其他词性义依据基础英语常用义补充。
1759,nearby,adjective；adverb,adjective. 附近的；adverb. 在附近,AI初稿完成,通过,nearby%5:00:00:near:00|nearby%4:02:00::,
1760,nearly,adverb,adverb. 几乎；差不多,AI初稿完成,通过,nearly%4:02:00::|nearly%4:02:02::,
1761,neat,adjective,adjective. 整洁的；利落的；巧妙的,AI初稿完成,通过,neat%5:00:00:tidy:00|neat%5:00:03:tidy:00|neat%5:00:00:adroit:00|neat%5:00:00:superficial:00,
1762,necessary,adjective；noun,adjective. 必要的；必需的；noun. 必需品,AI初稿完成,通过,necessary%3:00:00::|necessary%5:00:00:inevitable:00|necessary%1:17:00::,
1763,neck,noun,noun. 脖子；颈部；狭窄部分,AI初稿完成,通过,neck%1:08:00::|neck%1:17:00::|neck%1:13:00::|neck%1:06:01::,
1764,need,verb；noun,verb. 需要；必须；noun. 需要；必要；缺乏,AI初稿完成,通过,need%1:26:00::|need%1:17:00::|need%1:03:00::|need%1:26:01::,动词义依据基础英语常用义补充。
1765,needle,noun；verb,noun. 针；指针；针叶；verb. 刺激；用针缝,AI初稿完成,通过,needle%1:20:00::|needle%1:06:01::|needle%1:06:00::|needle%1:06:02::,动词义依据基础英语常用义补充。
1766,negative,adjective；noun,adjective. 否定的；消极的；负的；noun. 否定；负数,AI初稿完成,通过,negative%3:00:02::|negative%3:00:01::|negative%5:00:00:bad:00|negative%3:00:04::,名词义依据基础英语常用义补充。
1767,negotiate,verb,verb. 谈判；协商；顺利通过,AI初稿完成,通过,negotiate%2:32:00::|negotiate%2:38:00::,
1768,neighbour,noun；verb,noun. 邻居；邻近的人或事物；verb. 与……相邻,AI初稿完成,通过,neighbour%1:18:00::|neighbour%1:17:00::|neighbour%2:42:01::|neighbour%2:42:00::,
1769,neighbourhood,noun,noun. 街区；邻近地区；邻里,AI初稿完成,通过,neighbourhood%1:15:00::|neighbourhood%1:14:00::|neighborhood%1:15:00::|neighborhood%1:14:00::,英式拼写。
1770,neither,determiner；pronoun；adverb,determiner. 两者都不；pronoun. 两者都不；adverb. 也不,AI初稿完成,通过,neither%5:00:00:incomplete:00,功能词用法依据基础英语语法补充。
1771,nephew,noun,noun. 侄子；外甥,AI初稿完成,通过,nephew%1:18:00::,
1772,nervous,adjective,adjective. 紧张的；焦虑的；神经的；易激动的,AI初稿完成,通过,nervous%5:00:00:tense:03|nervous%5:00:00:troubled:00|nervous%3:01:00::|nervous%5:00:00:excited:00,
1773,nest,noun；verb,noun. 巢；窝；安乐窝；verb. 筑巢；嵌套,AI初稿完成,通过,nest%1:17:00::|nest%1:06:00::|nest%1:15:00::|nest%1:14:00::,动词义依据基础英语常用义补充。
1774,net,noun；adjective；verb,noun. 网；网络；净额；adjective. 净的；最终的；verb. 用网捕；净赚,AI初稿完成,通过,net%3:00:00::|net%5:00:00:ultimate:00|net%1:06:01::|net%1:06:02::,动词义依据基础英语常用义补充。
1775,network,noun；verb,noun. 网络；网状系统；广播网；verb. 建立联系；联网,AI初稿完成,通过,network%1:14:00::|network%1:06:01::|network%1:06:00::|network%1:06:03::,动词义依据基础英语常用义补充。
1776,never,adverb,adverb. 从不；绝不,AI初稿完成,通过,never%4:02:00::,
1777,nevertheless,adverb,adverb. 然而；不过；尽管如此,AI初稿完成,通过,nevertheless%4:02:00::,
1778,new,adjective；adverb,adjective. 新的；新颖的；不熟悉的；adverb. 新近地,AI初稿完成,通过,new%3:00:00::|new%3:00:09::|new%5:00:00:original:00|new%5:00:00:inexperienced:00,副词义依据基础英语常用义补充。
1779,news,noun,noun. 新闻；消息；新闻报道,AI初稿完成,通过,news%1:10:00::|news%1:10:01::|news%1:10:02::|news%1:10:03::,
1780,newspaper,noun,noun. 报纸；报社；新闻纸,AI初稿完成,通过,newspaper%1:10:00::|newspaper%1:14:00::|newspaper%1:06:00::|newspaper%1:27:00::,
1781,next,adjective；adverb；noun,adjective. 下一个的；紧接着的；adverb. 接下来；noun. 下一个,AI初稿完成,通过,next%5:00:00:succeeding:00|next%5:00:00:close:01|next%5:00:00:incoming:00|next%5:00:01:succeeding:00,副词和名词义依据基础英语常用义补充。
1782,nice,adjective,adjective. 好的；友善的；令人愉快的；精细的,AI初稿完成,通过,nice%3:00:00::|nice%5:00:00:respectable:00|nice%5:00:02:precise:00|nice%5:00:00:fastidious:00,
1783,niece,noun,noun. 侄女；外甥女,AI初稿完成,通过,niece%1:18:00::,
1784,night,noun,noun. 夜；夜晚；黑暗时期,AI初稿完成,通过,night%1:28:00::|night%1:28:01::|night%1:28:04::|night%1:28:02::,
1785,nine,numeral；noun,numeral. 九；noun. 九个；九人一组,AI初稿完成,通过,nine%5:00:00:cardinal:00|nine%1:23:00::|nine%1:14:00::|nine%1:06:00::,
1786,nineteen,numeral,numeral. 十九,AI初稿完成,通过,nineteen%5:00:00:cardinal:00|nineteen%1:23:00::,
1787,ninety,numeral,numeral. 九十,AI初稿完成,通过,ninety%5:00:00:cardinal:00|ninety%1:23:00::,
1788,ninth,ordinal；noun,ordinal. 第九；noun. 九分之一；第九个,AI初稿完成,通过,ninth%5:00:00:ordinal:00|ninth%1:24:00::|ninth%1:23:00::,
1789,no,determiner；interjection；adverb,determiner. 没有；不是任何；interjection. 不；不是；adverb. 不；完全不,AI初稿完成,通过,no%3:00:00::|no%1:10:00::|no%4:02:02::|no%4:02:01::,
1790,noble,adjective；noun,adjective. 高尚的；贵族的；宏伟的；noun. 贵族,AI初稿完成,通过,noble%5:00:00:impressive:00|noble%3:00:02::|noble%3:00:01::|noble%5:00:00:unreactive:00,名词义依据基础英语常用义补充。
1791,nobody,pronoun；noun,pronoun. 没有人；noun. 无足轻重的人,AI初稿完成,通过,nobody%1:18:00::,
1792,nod,verb；noun,verb. 点头；打瞌睡；noun. 点头；同意,AI初稿完成,通过,nod%1:10:01::|nod%1:04:00::|nod%2:32:01::|nod%2:32:00::,
1793,noise,noun；verb,noun. 声音；噪声；干扰；verb. 传播；发出噪声,AI初稿完成,通过,noise%1:11:00::|noise%1:09:00::|noise%1:11:01::|noise%1:10:00::,动词义依据基础英语常用义补充。
1794,noisy,adjective,adjective. 吵闹的；嘈杂的；花哨的,AI初稿完成,通过,noisy%3:00:00::|noisy%5:00:00:colorful:03,
1795,none,pronoun；adverb,pronoun. 没有一个；毫无；adverb. 一点也不,AI初稿完成,通过,none%5:00:00:no:00|none%4:02:00::,排除同形专名和低相关义项。
1796,noodle,noun,noun. 面条；笨蛋,AI初稿完成,通过,noodle%1:13:00::|noodle%1:08:00::,
1797,noon,noun,noun. 正午；中午十二点,AI初稿完成,通过,noon%1:28:00::,
1798,nor,conjunction,conjunction. 也不；也没有,AI初稿完成,通过,,OEWN无候选释义；依据基础英语并列连词用法原创整理。
1799,normal,adjective；noun,adjective. 正常的；通常的；标准的；noun. 正常状态；常态,AI初稿完成,通过,normal%3:00:01::|normal%3:00:02::|normal%3:00:03::|normal%5:00:00:perpendicular:00,名词义依据基础英语常用义补充。
1800,north,noun；adjective；adverb,noun. 北；北方；adjective. 北方的；adverb. 向北,AI初稿完成,通过,north%3:00:00::|north%1:24:00::|north%1:15:00::|north%1:24:02::,副词义依据基础英语常用义补充。
1801,northern,adjective,adjective. 北方的；北部的；来自北方的,AI初稿完成,通过,northern%3:00:02::|northern%5:00:02:north:00|northern%5:00:01:north:00|northern%3:00:01::,
1802,nose,noun；verb,noun. 鼻子；前端；嗅觉；verb. 嗅；探查,AI初稿完成,通过,nose%1:08:00::|nose%1:06:00::|nose%1:06:02::|nose%1:23:00::,动词义依据基础英语常用义补充。
1803,not,adverb,adverb. 不；没有；并非,AI初稿完成,通过,not%4:02:00::,
1804,note,noun；verb,noun. 笔记；便条；音符；钞票；verb. 注意；记录,AI初稿完成,通过,note%1:10:00::|note%1:10:03::|note%1:10:04::|note%1:10:05::,动词义依据基础英语常用义补充。
1805,notebook,noun,noun. 笔记本；笔记本电脑,AI初稿完成,通过,notebook%1:10:00::|notebook%1:06:00::,
1806,nothing,pronoun；noun；adverb,pronoun. 没有什么；无事；noun. 无关紧要的事；adverb. 毫不,AI初稿完成,通过,nothing%1:23:00::|nothing%4:02:00::,
1807,notice,noun；verb,noun. 通知；告示；注意；verb. 注意到；留意,AI初稿完成,通过,notice%1:10:01::|notice%1:09:00::|notice%1:10:02::|notice%1:10:03::,动词义依据基础英语常用义补充。
1808,novel,noun；adjective,noun. 小说；adjective. 新颖的；新奇的,AI初稿完成,通过,novel%5:00:00:original:00|novel%5:00:00:new:00|novel%1:10:00::|novel%1:06:00::,
1809,novelist,noun,noun. 小说家,AI初稿完成,通过,novelist%1:18:00::,
1810,November,proper_noun,proper_noun. 十一月,AI初稿完成,通过,november%1:28:00::,
1811,now,adverb；noun,adverb. 现在；此刻；既然；noun. 现在,AI初稿完成,通过,now%1:28:00::|now%4:02:05::|now%4:02:00::|now%4:02:02::,
1812,nowadays,adverb；noun,adverb. 现今；如今；noun. 当今,AI初稿完成,通过,nowadays%1:28:00::|nowadays%4:02:00::,
1813,nowhere,adverb；noun,adverb. 无处；任何地方都不；noun. 无名之地,AI初稿完成,通过,nowhere%1:26:00::|nowhere%4:02:00::,
1814,nuclear,adjective,adjective. 核的；核能的；核心的,AI初稿完成,通过,nuclear%3:00:00::|nuclear%3:01:01::|nuclear%3:01:02::|nuclear%5:00:00:central:01,
1815,number,noun；verb,noun. 数字；号码；数量；verb. 编号；总计,AI初稿完成,通过,number%1:07:00::|number%1:23:00::|number%1:10:04::|number%1:10:03::,动词义依据基础英语常用义补充。
