token,earliest_level,document_levels,source_ids,source_entry_count,source_entries
gland,cet6,cet6,cet-english-2016-revised-word-list,1,★ gland
glare,cet6,cet6,cet-english-2016-revised-word-list,1,★ glare
glass,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,glass
gleam,cet6,cet6,cet-english-2016-revised-word-list,1,★ gleam
glide,cet6,cet6,cet-english-2016-revised-word-list,1,★ glide glider
glider,cet6,cet6,cet-english-2016-revised-word-list,1,★ glide glider
glimpse,cet4,cet4,cet-english-2016-revised-word-list,1,glimpse
glitter,cet6,cet6,cet-english-2016-revised-word-list,1,★ glitter
global,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,global* || globe global globalize/Ｇise
globalize,cet4,cet4,cet-english-2016-revised-word-list,1,globe global globalize/Ｇise
globe,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,globe global globalize/Ｇise || globe**
gloom,cet4,cet4,cet-english-2016-revised-word-list,1,gloom gloomy
gloomy,cet4,cet4,cet-english-2016-revised-word-list,1,gloom gloomy
glorious,cet4,cet4,cet-english-2016-revised-word-list,1,glory glorious
glory,cet4,cet4,cet-english-2016-revised-word-list,1,glory glorious
glossary,cet6,cet6,cet-english-2016-revised-word-list,1,★ glossary
glove,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,glove
glow,cet4,cet4,cet-english-2016-revised-word-list,1,glow
glue,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,glue
go,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,go
goal,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,goal
goat,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,goat || goat**
god,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,god
gold,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,gold || gold golden
golden,cet4,cet4,cet-english-2016-revised-word-list,1,gold golden
golf,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,golf || golf**
good,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,good
goodbye,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,goodbye || goodbye (bye)
goodness,cet4,cet4,cet-english-2016-revised-word-list,1,goodness
goods,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,goods || goods*
goose,cet4,cet4,cet-english-2016-revised-word-list,1,goose
gorge,cet6,cet6,cet-english-2016-revised-word-list,1,★ gorge
gorgeous,cet4,cet4,cet-english-2016-revised-word-list,1,gorgeous
gospel,cet6,cet6,cet-english-2016-revised-word-list,1,★ gospel
gossip,cet4,cet4,cet-english-2016-revised-word-list,1,gossip
govern,cet4,cet4,cet-english-2016-revised-word-list,1,govern government governor
government,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,govern government governor || government
governor,cet4,cet4,cet-english-2016-revised-word-list,1,govern government governor
gown,cet4,cet4,cet-english-2016-revised-word-list,1,gown
grab,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,grab || grab**
grace,cet4,cet4,cet-english-2016-revised-word-list,1,grace graceful gracious
graceful,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,grace graceful gracious || graceful**
gracious,cet4,cet4,cet-english-2016-revised-word-list,1,grace graceful gracious
grade,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,grade
gradual,cet4,cet4,cet-english-2016-revised-word-list,1,gradual gradually
gradually,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,gradual gradually || gradually**
graduate,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,graduate || graduate graduation
graduation,cet4,cet4,cet-english-2016-revised-word-list,1,graduate graduation
grain,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,grain || grain**
gram,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,gram (me) || gramme (gram)**
grammar,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,grammar || grammar grammatical
grammatical,cet4,cet4,cet-english-2016-revised-word-list,1,grammar grammatical
gramme,senior_high,senior_high,moe-hs-english-2017-2025-appendix-2,1,gramme (gram)**
grand,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,grand || grand**
grandchild,cet4,cet4,cet-english-2016-revised-word-list,1,grandchild grandchildren grandson granddaughter
grandchildren,cet4,cet4,cet-english-2016-revised-word-list,1,grandchild grandchildren grandson granddaughter
granddaughter,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,grandchild grandchildren grandson granddaughter || granddaughter*
grandfather,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,grandfather (grandpa) || grandparent grandfather grandmother
grandma,junior,junior,moe-hs-english-2017-2025-appendix-2,1,grandmother (grandma)
grandmother,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,grandmother (grandma) || grandparent grandfather grandmother
grandpa,junior,junior,moe-hs-english-2017-2025-appendix-2,1,grandfather (grandpa)
grandparent,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,grandparent grandfather grandmother || grandparent*
grandson,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,grandchild grandchildren grandson granddaughter || grandson*
grant,cet4,cet4,cet-english-2016-revised-word-list,1,grant granted
granted,cet4,cet4,cet-english-2016-revised-word-list,1,grant granted
grape,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,grape
graph,cet4,cet4,cet-english-2016-revised-word-list,2,graph graphic graphically || photo(graph) photographic photographer photography
graphic,cet4,cet4,cet-english-2016-revised-word-list,1,graph graphic graphically
graphically,cet4,cet4,cet-english-2016-revised-word-list,1,graph graphic graphically
grasp,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,grasp || grasp**
grass,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,grass || grass grassy
grassy,cet4,cet4,cet-english-2016-revised-word-list,1,grass grassy
grateful,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,grateful || grateful**
gratitude,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,gratitude || gratitude**
grave,cet4,cet4,cet-english-2016-revised-word-list,1,grave
gravitation,cet4,cet4,cet-english-2016-revised-word-list,1,gravitation
gravity,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,gravity || gravity**
gray,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,gray/grey || grey (gray)
graze,cet6,cet6,cet-english-2016-revised-word-list,1,★ graze
grease,cet6,cet6,cet-english-2016-revised-word-list,1,★ grease greasy
greasy,cet6,cet6,cet-english-2016-revised-word-list,1,★ grease greasy
great,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,great
greed,cet6,cet6,cet-english-2016-revised-word-list,1,★ greed greedy
greedy,senior_high,senior_high|cet6,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,greedy** || ★ greed greedy
green,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,green
greenhouse,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,greenhouse || greenhouse*
greet,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,greet || greet greeting
greeting,cet4,cet4,cet-english-2016-revised-word-list,1,greet greeting
grey,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,gray/grey || grey (gray)
grid,cet6,cet6,cet-english-2016-revised-word-list,1,★ grid
grief,cet4,cet4,cet-english-2016-revised-word-list,1,grief grieve grievous
grieve,cet4,cet4,cet-english-2016-revised-word-list,1,grief grieve grievous
grievous,cet4,cet4,cet-english-2016-revised-word-list,1,grief grieve grievous
grill,cet6,cet6,cet-english-2016-revised-word-list,1,★ grill
grim,cet6,cet6,cet-english-2016-revised-word-list,1,★ grim
grin,cet4,cet4,cet-english-2016-revised-word-list,1,grin
grind,cet4,cet4,cet-english-2016-revised-word-list,1,grind
grip,cet4,cet4,cet-english-2016-revised-word-list,1,grip
groan,cet6,cet6,cet-english-2016-revised-word-list,1,★ groan
grocer,cet4,cet4,cet-english-2016-revised-word-list,1,grocer grocery
grocery,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,grocer grocery || grocery**
groove,cet6,cet6,cet-english-2016-revised-word-list,1,★ groove
grope,cet6,cet6,cet-english-2016-revised-word-list,1,★ grope
gross,cet4,cet4,cet-english-2016-revised-word-list,1,gross
ground,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,ground
group,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,group
grow,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,grow || grow growth
growth,cet4,cet4,cet-english-2016-revised-word-list,1,grow growth
guarantee,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,guarantee || guarantee**
guard,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,guard || guard guardian
guardian,cet4,cet4,cet-english-2016-revised-word-list,1,guard guardian
guess,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,guess
guest,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,guest
guidance,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,guidance** || guide guidance
guide,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,guide || guide guidance
guideline,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,guideline || guideline*
guilt,cet4,cet4,cet-english-2016-revised-word-list,1,guilt guilty
guilty,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,guilt guilty || guilty**
guitar,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,guitar || guitar guitarist
guitarist,cet4,cet4,cet-english-2016-revised-word-list,1,guitar guitarist
gulf,cet4,cet4,cet-english-2016-revised-word-list,1,gulf
gum,cet4,cet4,cet-english-2016-revised-word-list,1,gum
gun,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,gun
gut,cet4,cet4,cet-english-2016-revised-word-list,1,gut
guy,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,guy || guy*
gym,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,gym (=gymnasium) || gym (nasium )
gymnasium,junior,junior,moe-hs-english-2017-2025-appendix-2,1,gym (=gymnasium)
gymnastics,senior_high,senior_high,moe-hs-english-2017-2025-appendix-2,1,gymnastics*
habit,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,habit || habit habitual
habitat,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,habitat || habitat**
habitual,cet4,cet4,cet-english-2016-revised-word-list,1,habit habitual
hack,cet4,cet4,cet-english-2016-revised-word-list,2,hack１ hacker || hack２
hacker,cet4,cet4,cet-english-2016-revised-word-list,1,hack１ hacker
hail,cet4,cet4,cet-english-2016-revised-word-list,2,hail１ || hail２
hair,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,hair || hair hairy
hairy,cet4,cet4,cet-english-2016-revised-word-list,1,hair hairy
half,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,half
halfway,cet4,cet4,cet-english-2016-revised-word-list,1,halfway
hall,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,hall
halt,cet4,cet4,cet-english-2016-revised-word-list,1,halt
ham,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,ham || ham**
hamburger,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,hamburger || hamburger/burger
hammer,cet4,cet4,cet-english-2016-revised-word-list,1,hammer
hamper,cet6,cet6,cet-english-2016-revised-word-list,1,★ hamper
hand,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,hand || hand handful
handbag,senior_high,senior_high,moe-hs-english-2017-2025-appendix-2,1,handbag*
handbook,cet4,cet4,cet-english-2016-revised-word-list,1,handbook
handful,cet4,cet4,cet-english-2016-revised-word-list,1,hand handful
handicap,cet4,cet4,cet-english-2016-revised-word-list,1,handicap handicapped
handicapped,cet4,cet4,cet-english-2016-revised-word-list,1,handicap handicapped
handicraft,cet6,cet6,cet-english-2016-revised-word-list,1,★ handicraft
handkerchief,senior_high,senior_high,moe-hs-english-2017-2025-appendix-2,1,handkerchief**
handle,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,handle || handle**
handsome,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,handsome
handwriting,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,handwriting || handwriting**
handy,cet4,cet4,cet-english-2016-revised-word-list,1,handy
hang,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,hang
happen,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,happen
happily,cet4,cet4,cet-english-2016-revised-word-list,1,happy happiness happily
happiness,cet4,cet4,cet-english-2016-revised-word-list,1,happy happiness happily
happy,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,happy || happy happiness happily
harass,cet6,cet6,cet-english-2016-revised-word-list,1,★ harass harassment
harassment,cet6,cet6,cet-english-2016-revised-word-list,1,★ harass harassment
harbo,cet4,cet4,cet-english-2016-revised-word-list,1,harbo(u)r
hard,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,hard || hard harden
harden,cet4,cet4,cet-english-2016-revised-word-list,1,hard harden
hardly,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,hardly
hardship,cet4,cet4,cet-english-2016-revised-word-list,1,hardship
hardware,cet4,cet4,cet-english-2016-revised-word-list,1,hardware
hardy,cet6,cet6,cet-english-2016-revised-word-list,1,★ hardy
harm,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,harm || harm harmful harmless
harmful,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,harm harmful harmless || harmful*
harmless,cet4,cet4,cet-english-2016-revised-word-list,1,harm harmful harmless
harmonious,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,harmonious** || harmony harmonious
harmony,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,harmony harmonious || harmony**
harness,cet4,cet4,cet-english-2016-revised-word-list,1,harness
harsh,cet4,cet4,cet-english-2016-revised-word-list,1,harsh
harvest,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,harvest || harvest**
has,junior,junior,moe-hs-english-2017-2025-appendix-2,1,have (has)
haste,cet4,cet4,cet-english-2016-revised-word-list,1,haste hasty hasten
hasten,cet4,cet4,cet-english-2016-revised-word-list,1,haste hasty hasten
hasty,cet4,cet4,cet-english-2016-revised-word-list,1,haste hasty hasten
hat,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,hat
hatch,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,hatch || hatch**
hate,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,hate || hate hatred hateful
hateful,cet4,cet4,cet-english-2016-revised-word-list,1,hate hatred hateful
hatred,cet4,cet4,cet-english-2016-revised-word-list,1,hate hatred hateful
haul,cet4,cet4,cet-english-2016-revised-word-list,1,haul
haunt,cet4,cet4,cet-english-2016-revised-word-list,1,haunt
have,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,have || have (has)
haven,cet6,cet6,cet-english-2016-revised-word-list,1,★ haven
havoc,cet6,cet6,cet-english-2016-revised-word-list,1,★ havoc
hawk,cet6,cet6,cet-english-2016-revised-word-list,1,★ hawk
hay,cet4,cet4,cet-english-2016-revised-word-list,1,hay
hazard,cet4,cet4,cet-english-2016-revised-word-list,1,hazard hazardous
hazardous,cet4,cet4,cet-english-2016-revised-word-list,1,hazard hazardous
haze,cet4,cet4,cet-english-2016-revised-word-list,1,haze hazy
hazy,cet4,cet4,cet-english-2016-revised-word-list,1,haze hazy
he,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,he
head,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,head
headache,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,headache || headache*
heading,cet4,cet4,cet-english-2016-revised-word-list,1,heading
headline,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,headline || headline*
headmaster,cet4,cet4,cet-english-2016-revised-word-list,1,headmaster headmistress
headmistress,cet4,cet4,cet-english-2016-revised-word-list,1,headmaster headmistress
headquarters,cet4,cet4,cet-english-2016-revised-word-list,1,headquarters
heal,cet4,cet4,cet-english-2016-revised-word-list,1,heal
health,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,health || health healthy healthful
healthful,cet4,cet4,cet-english-2016-revised-word-list,1,health healthy healthful
healthy,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,health healthy healthful || healthy
heap,cet4,cet4,cet-english-2016-revised-word-list,1,heap
hear,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,hear || hear hearing
hearing,cet4,cet4,cet-english-2016-revised-word-list,1,hear hearing
heart,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,heart || heart hearty
heartfelt,cet4,cet4,cet-english-2016-revised-word-list,1,heartfelt
hearty,cet4,cet4,cet-english-2016-revised-word-list,1,heart hearty
heat,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,heat || heat heated heating
heated,cet4,cet4,cet-english-2016-revised-word-list,1,heat heated heating
heating,cet4,cet4,cet-english-2016-revised-word-list,1,heat heated heating
heave,cet6,cet6,cet-english-2016-revised-word-list,1,★ heave
heaven,cet4,cet4,cet-english-2016-revised-word-list,1,heaven
heavy,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,heavy
hectare,cet4,cet4,cet-english-2016-revised-word-list,1,hectare
hectic,cet6,cet6,cet-english-2016-revised-word-list,1,★ hectic
hedge,cet4,cet4,cet-english-2016-revised-word-list,1,hedge
heel,cet4,cet4,cet-english-2016-revised-word-list,1,heel
height,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,height || height heighten
heighten,cet4,cet4,cet-english-2016-revised-word-list,1,height heighten
heir,cet4,cet4,cet-english-2016-revised-word-list,1,heir heiress
heiress,cet4,cet4,cet-english-2016-revised-word-list,1,heir heiress
helicopter,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,helicopter || helicopter*
hell,cet4,cet4,cet-english-2016-revised-word-list,1,hell
hello,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,hello
helmet,cet6,cet6,cet-english-2016-revised-word-list,1,★ helmet
help,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,help || help helpful helpless helplessly
helpful,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,help helpful helpless helplessly || helpful
helpless,cet4,cet4,cet-english-2016-revised-word-list,1,help helpful helpless helplessly
helplessly,cet4,cet4,cet-english-2016-revised-word-list,1,help helpful helpless helplessly
hemisphere,cet6,cet6,cet-english-2016-revised-word-list,1,★ hemisphere
hen,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,hen
hence,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,hence || hence**
henceforth,cet6,cet6,cet-english-2016-revised-word-list,1,★ henceforth
her,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,her
herald,cet6,cet6,cet-english-2016-revised-word-list,1,★ herald
herb,senior_high,senior_high|cet6,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,herb** || ★ herb herbal
herbal,cet6,cet6,cet-english-2016-revised-word-list,1,★ herb herbal
herd,cet4,cet4,cet-english-2016-revised-word-list,1,herd
here,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,here
hereby,cet4,cet4,cet-english-2016-revised-word-list,1,hereby
heritage,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,heritage || heritage*
hero,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,hero || hero/heroine heroic heroism
heroic,cet4,cet4,cet-english-2016-revised-word-list,1,hero/heroine heroic heroism
heroin,cet6,cet6,cet-english-2016-revised-word-list,1,★ heroin
heroine,cet4,cet4,cet-english-2016-revised-word-list,1,hero/heroine heroic heroism
heroism,cet4,cet4,cet-english-2016-revised-word-list,1,hero/heroine heroic heroism
hers,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,hers
herself,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,herself
hesitant,cet4,cet4,cet-english-2016-revised-word-list,1,hesitate hesitation hesitant
hesitate,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,hesitate hesitation hesitant || hesitate*
hesitation,cet4,cet4,cet-english-2016-revised-word-list,1,hesitate hesitation hesitant
hi,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,hi
hibernate,cet6,cet6,cet-english-2016-revised-word-list,1,★ hibernate hibernation
hibernation,cet6,cet6,cet-english-2016-revised-word-list,1,★ hibernate hibernation
hide,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,hide || hide hiding
hiding,cet4,cet4,cet-english-2016-revised-word-list,1,hide hiding
hierarchical,cet6,cet6,cet-english-2016-revised-word-list,1,★ hierarchy hierarchical
hierarchy,cet6,cet6,cet-english-2016-revised-word-list,1,★ hierarchy hierarchical
high,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,high || high highly
highlight,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,highlight || highlight**
highly,cet4,cet4,cet-english-2016-revised-word-list,1,high highly
hightech,cet4,cet4,cet-english-2016-revised-word-list,1,highＧtech
highway,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,highway || highway*
hijack,cet4,cet4,cet-english-2016-revised-word-list,1,hijack
hike,junior,junior|cet6,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,hike || ★ hike
hill,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,hill || hill hilly
hilly,cet4,cet4,cet-english-2016-revised-word-list,1,hill hilly
him,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,him
himself,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,himself
hinder,cet4,cet4,cet-english-2016-revised-word-list,1,hinder hindrance
hindrance,cet4,cet4,cet-english-2016-revised-word-list,1,hinder hindrance
hinge,cet6,cet6,cet-english-2016-revised-word-list,1,★ hinge
hint,cet4,cet4,cet-english-2016-revised-word-list,1,hint
hip,cet4,cet4,cet-english-2016-revised-word-list,1,hip
hire,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,hire || hire**
his,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,his
historian,cet4,cet4,cet-english-2016-revised-word-list,1,history historic historical historian
historic,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,historic** || history historic historical historian
historical,cet4,cet4,cet-english-2016-revised-word-list,1,history historic historical historian
history,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,history || history historic historical historian
hit,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,hit
hitherto,cet6,cet6,cet-english-2016-revised-word-list,1,★ hitherto
hive,cet6,cet6,cet-english-2016-revised-word-list,1,★ hive
hobby,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,hobby
hockey,cet6,cet6,cet-english-2016-revised-word-list,1,★ hockey
hoist,cet6,cet6,cet-english-2016-revised-word-list,1,★ hoist
hold,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,hold
hole,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,hole
holiday,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,holiday
holiness,cet4,cet4,cet-english-2016-revised-word-list,1,holy holiness
hollow,cet4,cet4,cet-english-2016-revised-word-list,1,hollow
holy,cet4,cet4,cet-english-2016-revised-word-list,1,holy holiness
home,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,home || home homeless homely
homeland,cet4,cet4,cet-english-2016-revised-word-list,1,homeland
homeless,cet4,cet4,cet-english-2016-revised-word-list,1,home homeless homely
